ID,V_Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,Label
224590,143877,-3.741507749,3.593869102,-3.555304244,-0.636903095,-1.656430883,-1.108363202,-1.725923041,3.114136159,-0.227630442,-0.365355465,0.067909568,1.357163039,-0.511230698,1.149902485,-1.029985197,1.26983962,1.336828498,0.490778176,-0.212520323,-0.015354606,-0.187620677,-0.986199096,0.468462161,0.623453627,-0.032297785,0.133955976,-0.006623159,-0.043315443,0.011588926,6.081881192,0
168939,119453,-2.505362834,-1.341886859,1.190301577,1.473644836,-3.441079822,1.813684925,2.535342489,0.504173398,-0.208795361,-1.366939358,-1.242215108,-0.417868173,0.049860374,0.013584966,1.338124084,0.515544918,-0.27020682,1.24623279,-0.047473092,2.024074921,0.771255025,0.779542901,1.751920362,-0.123505309,0.757618449,-0.299570119,-0.025516423,0.158665409,1.118415189,1.082677206,0
237379,149220,2.113388732,-0.687480892,-2.890546176,-0.689634764,0.701765726,-0.778309998,0.582745524,-0.513283423,-1.400720954,1.156231882,-0.193902212,0.327631907,0.489422713,0.77885706,-1.00584367,-1.843212613,-0.422727908,1.333113144,-0.066733476,-0.391301757,-0.043095991,0.267040326,-0.301764725,-1.075401805,0.572105374,1.068458887,-0.153550258,-0.105395999,0.12522851,4.954439974,0
266542,162379,-1.054836917,1.22708615,0.728395149,-0.623346816,0.460713729,-0.313348713,0.625611192,0.372488969,-0.970822666,-0.70882056,0.265002939,0.540252032,-0.126301083,0.693412907,-0.613802818,0.10628947,-0.347906356,0.038467597,1.141488126,-0.130797229,-0.190950945,-0.805528304,-0.337713408,-0.473021212,0.479427926,0.406637433,-0.277673787,-0.037054486,0.003216959,-6.862541236,0
166810,118327,0.020643422,0.750632266,0.153595465,-0.78033884,0.581574974,-0.547762531,0.865897186,0.019450081,-0.205161035,-0.249956538,0.427964451,0.378991794,-0.662303399,0.41980389,-0.961260226,0.165872566,-0.675414478,-0.15674078,0.256606482,-0.05180194,-0.231670822,-0.53726865,0.042309304,-0.43676165,-0.514529023,0.151934711,0.236616795,0.069519987,0.011457109,-0.750675548,0
253541,156305,2.196359846,-0.767671337,-1.444571466,-1.08455927,-0.343917791,-0.718352178,-0.486194132,-0.177585548,-0.766671786,1.053939839,1.013014223,-0.147378841,-0.205927753,0.279850601,-0.322230729,1.124266289,-0.10960014,-0.739197332,0.710715539,-0.022134061,0.491101806,1.30465071,0.008048909,0.802919631,0.172399815,0.019998102,-0.033712276,-0.086046833,0.019078053,-4.199258783,0
261431,160018,-0.718115878,0.96079679,0.59481182,-1.134224535,1.164266249,-0.777992834,1.501428525,-0.177385024,-0.558619032,-1.032441618,-1.326899178,-0.700282477,-1.242753341,0.456971738,-0.905791137,-0.311749383,-0.257636235,-0.581396034,-0.289826325,-0.194435257,-0.060550139,-0.206831555,-0.544477914,0.765828428,1.038826376,0.556380693,-0.092162249,0.018572834,0.012007961,-8.941253744,0
184074,126085,2.076542917,0.177554115,-1.596490345,1.807256571,0.570403864,-0.606105383,0.414231367,-0.315623977,-0.727012045,1.183134137,-1.755946356,-0.667829564,-0.370392053,0.298163107,-1.10420223,0.660142879,-0.434816677,-1.044455294,-0.311317931,-0.195991412,-0.144636919,-0.379573368,0.118590537,-0.55633339,-0.183579991,2.29257364,-0.230845571,-0.085797152,0.012063941,-0.589856645,0
184264,126175,-0.820928582,0.805809267,1.031776004,-0.345316039,-0.119647879,0.487509174,-0.321996992,0.857638718,0.271032557,-1.568619626,0.284809089,0.249162338,-1.114335439,-1.250689114,-1.602433058,0.378766914,0.884808909,1.043527189,0.104460742,-0.204821511,0.216279969,0.668138784,-0.506751986,0.678817043,0.858991343,0.87085135,-0.204258427,-0.1218339,0.007353394,-8.624772637,0
25554,33668,1.160999307,-0.715888298,-0.04342209,-1.34039163,-0.819937997,-0.741997448,-0.200728384,0.001919232,1.586027686,-0.965867678,0.674231233,0.54566072,-1.807722362,0.549158965,0.010912981,-0.659356668,0.015884454,0.247062797,1.561015403,-0.05991465,-0.176306167,-0.426860721,-0.124083055,0.031223666,0.495885317,-0.081992321,-0.027184037,0.014353137,0.092163696,0.817121068,0
196189,131402,2.017617104,-0.410224483,-0.508862105,0.332799883,-0.406135607,-0.010460693,-0.6640054,0.061081555,1.454133243,-0.15351214,-1.264375722,0.40541198,0.277115458,-0.260538924,0.536124475,0.190506395,-0.646670642,0.324661632,-0.089361121,-0.189585164,0.17500113,0.709548203,0.124311329,0.510031418,-0.033662529,-0.224056941,0.024258703,-0.038275788,0.006906925,-2.114716475,0
98034,66493,-1.305178698,-1.275136764,2.204651277,-0.741706276,0.104926464,-1.094093835,0.559013919,-0.871244119,-0.376931105,0.994396721,-0.382166453,-0.267710921,0.261907114,-1.143298399,-0.29563786,-2.061479116,0.080668123,0.446618862,-0.115651417,-0.753149497,-0.860848536,-0.783833446,0.911933748,0.73135383,-0.471298751,0.67023274,-0.389493613,-0.707030199,0.027824916,-3.823333152,0
189396,128386,1.505568622,-1.004507985,-1.764881951,0.23389459,0.606382229,0.991910348,0.144017736,0.273239942,0.676281691,-0.143602308,0.770596035,0.809024258,-0.95298889,0.759982844,0.146983179,-0.921207723,0.202888397,-1.183097717,-0.359748368,0.032729698,-0.00152662,-0.26677696,0.065706987,-1.663397136,-0.279354326,-0.420024049,-0.013846212,-0.048544068,0.264423019,-4.036109875,0
70852,54052,1.246729811,0.758855782,-0.399898537,0.948232792,0.073302744,-1.603048743,0.500899408,-0.41731053,-0.399051279,-0.764155556,0.718645246,0.672658581,1.177305744,-1.545366608,0.818498685,0.389662345,1.073963047,-0.000718263,-0.489657827,0.00326297,-0.11308155,-0.200089123,-0.057808879,0.645790018,0.567419122,0.341146128,-0.00267489,0.054099886,0.001912693,-0.920262799,0
130258,79323,-1.992242966,-0.266113797,1.165334261,-2.35126708,-1.927299814,-0.441120164,-1.094344813,1.029272059,-2.110610511,0.650004884,-0.993954412,-1.451652868,-0.629494677,0.166244699,0.620198222,0.028735104,0.808837285,0.176199783,-1.34910423,-0.337585545,-0.019413346,0.212355626,0.020590212,0.027410406,0.434441446,-0.126879229,0.261468785,-0.103585893,0.079553884,4.111713944,0
203014,134611,1.974142324,-0.507861955,-2.786709607,-0.825903124,0.481013868,-1.565865271,0.837303875,-0.444038572,0.456021111,-0.028789142,0.453751475,-0.19090817,-2.261126411,1.445687562,-0.339534349,-0.739691487,-0.123217573,0.036962629,0.895139546,-0.150380559,0.313898568,0.844510854,-0.280741779,-0.308020693,0.5311658,1.084671667,-0.180967894,-0.107083382,0.115338132,1.671549349,0
42723,41222,1.039078099,-1.758387018,0.15743955,-1.120544556,-1.823900076,-0.950105089,-0.616479246,-0.286373504,-1.824719412,1.321564887,-0.539931986,-1.055564344,0.19725145,-0.184787363,0.641648649,-0.364055885,0.554165413,0.060613966,-0.322107052,0.169031285,-0.072200252,-0.390951441,-0.191199149,0.362502495,0.283516019,-0.232440369,-0.034934961,0.061684592,0.32217537,5.117932883,0
